"","holiday","year","date"
"n.1","New Year",1900,1900-01-01
"n.2","New Year",1901,1901-01-01
"n.3","New Year",1902,1902-01-01
"n.4","New Year",1903,1903-01-01
"n.5","New Year",1904,1904-01-01
"n.6","New Year",1905,1905-01-01
"n.7","New Year",1906,1906-01-01
"n.8","New Year",1907,1907-01-01
"n.9","New Year",1908,1908-01-01
"n.10","New Year",1909,1909-01-01
"n.11","New Year",1910,1910-01-01
"n.12","New Year",1911,1911-01-01
"n.13","New Year",1912,1912-01-01
"n.14","New Year",1913,1913-01-01
"n.15","New Year",1914,1914-01-01
"n.16","New Year",1915,1915-01-01
"n.17","New Year",1916,1916-01-01
"n.18","New Year",1917,1917-01-01
"n.19","New Year",1918,1918-01-01
"n.20","New Year",1919,1919-01-01
"n.21","New Year",1920,1920-01-01
"n.22","New Year",1921,1921-01-01
"n.23","New Year",1922,1922-01-01
"n.24","New Year",1923,1923-01-01
"n.25","New Year",1924,1924-01-01
"n.26","New Year",1925,1925-01-01
"n.27","New Year",1926,1926-01-01
"n.28","New Year",1927,1927-01-01
"n.29","New Year",1928,1928-01-01
"n.30","New Year",1929,1929-01-01
"n.31","New Year",1930,1930-01-01
"n.32","New Year",1931,1931-01-01
"n.33","New Year",1932,1932-01-01
"n.34","New Year",1933,1933-01-01
"n.35","New Year",1934,1934-01-01
"n.36","New Year",1935,1935-01-01
"n.37","New Year",1936,1936-01-01
"n.38","New Year",1937,1937-01-01
"n.39","New Year",1938,1938-01-01
"n.40","New Year",1939,1939-01-01
"n.41","New Year",1940,1940-01-01
"n.42","New Year",1941,1941-01-01
"n.43","New Year",1942,1942-01-01
"n.44","New Year",1943,1943-01-01
"n.45","New Year",1944,1944-01-01
"n.46","New Year",1945,1945-01-01
"n.47","New Year",1946,1946-01-01
"n.48","New Year",1947,1947-01-01
"n.49","New Year",1948,1948-01-01
"n.50","New Year",1949,1949-01-01
"n.51","New Year",1950,1950-01-01
"n.52","New Year",1951,1951-01-01
"n.53","New Year",1952,1952-01-01
"n.54","New Year",1953,1953-01-01
"n.55","New Year",1954,1954-01-01
"n.56","New Year",1955,1955-01-01
"n.57","New Year",1956,1956-01-01
"n.58","New Year",1957,1957-01-01
"n.59","New Year",1958,1958-01-01
"n.60","New Year",1959,1959-01-01
"n.61","New Year",1960,1960-01-01
"n.62","New Year",1961,1961-01-01
"n.63","New Year",1962,1962-01-01
"n.64","New Year",1963,1963-01-01
"n.65","New Year",1964,1964-01-01
"n.66","New Year",1965,1965-01-01
"n.67","New Year",1966,1966-01-01
"n.68","New Year",1967,1967-01-01
"n.69","New Year",1968,1968-01-01
"n.70","New Year",1969,1969-01-01
"n.71","New Year",1970,1970-01-01
"n.72","New Year",1971,1971-01-01
"n.73","New Year",1972,1972-01-01
"n.74","New Year",1973,1973-01-01
"n.75","New Year",1974,1974-01-01
"n.76","New Year",1975,1975-01-01
"n.77","New Year",1976,1976-01-01
"n.78","New Year",1977,1977-01-01
"n.79","New Year",1978,1978-01-01
